Bvets Vehicle Performance Table 1.00
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
#a,4,4.879120879,5.700934579,6.283783784,7.142857143,8.219178082,9.523809524,10.79136691,12.24489796,14.28571429,15.78947368,18.18181818,19.10828025,21.58273381,24.3902439,26.78571429,30.6122449,34.09090909,37.03703704,42.25352113,48.38709677,53.57142857,66.66666667,68.18181818
#b,-160,-165.9120879,-165.0934579,-156.3783784,-167.8571429,-163.0136986,-171.4285714,-169.7841727,-169.3877551,-178.5714286,-168.4210526,-172.7272727,-163.6942675,-169.7841727,-173.1707317,-167.8571429,-181.6326531,-179.5454545,-166.6666667,-183.0985915,-190.3225806,-178.5714286,-233.3333333,-227.2727273
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,142.8571429,166.6666667,181.8181818
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.18181818,129.6296296,154.9295775,196.7741935,250,300,318.1818182
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,124.4897959,161.3636364,203.7037037,239.4366197,293.5483871,357.1428571,433.3333333,454.5454545
12,0,0,0,0,0,0,0,0,0,0,0,0,0,89.20863309,119.5121951,153.5714286,185.7142857,229.5454545,277.7777778,323.943662,390.3225806,464.2857143,566.6666667,590.9090909
14,0,0,0,0,0,0,0,0,0,0,0,81.81818182,103.8216561,132.3741007,168.2926829,207.1428571,246.9387755,297.7272727,351.8518519,408.4507042,487.0967742,571.4285714,700,727.2727273
16,0,0,0,0,0,0,0,0,0,0,84.21052632,118.1818182,142.0382166,175.5395683,217.0731707,260.7142857,308.1632653,365.9090909,425.9259259,492.9577465,583.8709677,678.5714286,833.3333333,863.6363636
18,0,0,0,0,0,0,0,0,0,78.57142857,115.7894737,154.5454545,180.2547771,218.705036,265.8536585,314.2857143,369.3877551,434.0909091,500,577.4647887,680.6451613,785.7142857,966.6666667,1000
20,0,0,0,0,0,0,0,0,75.51020408,107.1428571,147.3684211,190.9090909,218.4713376,261.8705036,314.6341463,367.8571429,430.6122449,502.2727273,574.0740741,661.971831,777.4193548,892.8571429,1100,1136.363636
22,0,0,0,0,0,0,0,0,100,135.7142857,178.9473684,227.2727273,256.6878981,305.0359712,363.4146341,421.4285714,491.8367347,570.4545455,648.1481481,746.4788732,874.1935484,1000,1233.333333,1272.727273
24,0,0,0,0,0,0,0,89.20863309,124.4897959,164.2857143,210.5263158,263.6363636,294.9044586,348.2014388,412.195122,475,553.0612245,638.6363636,722.2222222,830.9859155,970.9677419,1107.142857,1366.666667,1409.090909
26,0,0,0,0,0,0,76.19047619,110.7913669,148.9795918,192.8571429,242.1052632,300,333.1210191,391.3669065,460.9756098,528.5714286,614.2857143,706.8181818,796.2962963,915.4929577,1067.741935,1214.285714,1500,1545.454545
