Bvets Vehicle Performance Table 1.00
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,P910,P10Q11,WF1,WF2,WF3,WF4,WF5
#k,9.80665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22142.88418,35932.07436,52937.72583,64143.03768,81067.51707,97541.1818,135335.4341,210217.5382,415268.9362,4848312.456,3444443.062,2150057.799,859832.0656,150469.5316,230967.2295,363306.3546,907014.5229,18563504.71,14899868.81,14505519.26,9311291.738,10043333.5,7777217.174,3111639.421,8626192.976,21718406.87,22755544.81,24426343.56,19920737.33
2,19244.86309,30630.5688,44773.08323,53731.6998,66102.07645,78555.93938,103544.5518,148342.1509,237233.2068,740011.7155,3444443.062,2150057.799,859832.0656,127238.5606,185388.1867,273703.8516,535245.384,2699095.217,14899868.81,14505519.26,9311291.738,10043333.5,7777217.174,3111639.421,8626192.976,21718406.87,22755544.81,24426343.56,19920737.33
4,16822.96528,26273.36323,38055.42997,45314.08389,54539.76548,64157.18825,81370.85776,109999.0977,154997.5553,311002.6115,1371525.339,2150057.799,859832.0656,109071.8522,152376.2674,214398.9461,358852.9306,1002751.337,14899868.81,14505519.26,9311291.738,10043333.5,7777217.174,3111639.421,8626192.976,21718406.87,22755544.81,24426343.56,19920737.33
6,14769.88643,22633.47183,32443.6915,38387.25909,45377.25221,52922.22089,65167.79508,84323.21791,109355.4148,175995.0004,348936.8561,2150057.799,859832.0656,94539.14589,127565.1637,172830.2669,259958.6869,540547.526,2088850.018,14505519.26,9311291.738,10043333.5,7777217.174,3111639.421,8626192.976,21718406.87,22755544.81,24426343.56,19920737.33
8,13008.08907,19550.35043,27694.02033,32600.73008,37962.27665,43948.89897,52889.87028,66128.33266,80948.0999,114341.8964,169462.6957,394495.5889,859832.0656,82690.13236,108355.8346,142388.4443,198252.8739,345476.7647,802406.6378,2389556.914,9311291.738,10043333.5,7777217.174,3111639.421,8626192.976,21718406.87,22755544.81,24426343.56,19920737.33
10,11480.20422,16907.46024,23627.92917,27703.57408,31854.51691,36640.86251,43311.76224,52666.78765,61827.5714,80203.93366,102961.809,160104.5765,794882.0236,72871.72199,93117.38185,119311.4762,156773.8778,243132.0089,440046.7639,853767.8451,9311291.738,10043333.5,7777217.174,3111639.421,8626192.976,21718406.87,22755544.81,24426343.56,19920737.33
12,10142.9069,14618.28818,20112.06426,23511.92854,26747.14125,30589.94457,35659.96484,42363.95343,48205.21031,58928.46052,69778.41201,91209.03335,151744.4097,64622.02386,80781.32923,101322.262,127320.4424,181901.4576,284332.6712,454869.6929,2550292.036,10043333.5,7777217.174,3111639.421,8626192.976,21718406.87,22755544.81,24426343.56,19920737.33
14,8962.886983,12617.34352,17044.97909,19888.30815,22420.47038,25508.43073,29424.83396,34260.35072,38072.85188,44565.91666,50302.76573,59995.66087,74532.02237,57606.20645,70622.07898,86972.60058,105509.1336,141899.2741,201615.5728,289326.5738,742498.5253,1313351.09,7777217.174,3111639.421,8626192.976,5231307.831,22755544.81,24426343.56,19920737.33
16,7914.126637,10854.19038,14348.25652,16728.05458,18713.5029,21188.31818,24258.39903,27741.79579,30277.89084,34295.87905,37642.30608,42578.96211,47139.12606,51576.27896,62131.68656,75303.21601,88812.32044,114065.0063,151654.0874,203089.501,372894.2201,538160.9913,1393343.429,3111639.421,8626192.976,1440088.772,22755544.81,24426343.56,19920737.33
18,6976.016967,9289.391099,11960.41028,13950.22676,15505.81224,17475.89458,19915.81138,22398.89201,24116.47922,26627.02946,28814.05362,31589.3246,33430.47448,46345.07611,54945.19671,65656.67824,75683.01048,93758.32294,118760.1727,151648.7316,231778.3547,304998.539,511487.745,3111639.421,8626192.976,685246.8152,2724463.117,24426343.56,19920737.33
