bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.2222222
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.0909091,136.6666667,170.3703704
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.4210526,148.4848485,180,218.5185185
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.9047619,152.6315789,187.8787879,223.3333333,266.6666667
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.5217391,142.8571429,186.8421053,227.2727273,266.6666667,314.8148148
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,134.7826087,173.8095238,221.0526316,266.6666667,310,362.962963
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,163.0434783,204.7619048,255.2631579,306.0606061,353.3333333,411.1111111
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.2413793,150,191.3043478,235.7142857,289.4736842,345.4545455,396.6666667,459.2592593
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.3529412,139.6551724,175,219.5652174,266.6666667,323.6842105,384.8484848,440,507.4074074
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.3157895,126.4705882,162.0689655,200,247.826087,297.6190476,357.8947368,424.2424242,483.3333333,555.5555556
