bvets vehicle performance table 0.01,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,7.692307692
4,0,0,0,0,0,0,0,0,0,0,0,0,53.84615385
5,0,0,0,0,0,0,0,0,0,0,0,0,100
6,0,0,0,0,0,0,0,0,0,0,0,25,146.1538462
7,0,0,0,0,0,0,0,0,0,0,10,62.5,192.3076923
8,0,0,0,0,0,0,0,0,0,0,40,100,238.4615385
9,0,0,0,0,0,0,0,0,0,4,70,137.5,284.6153846
10,0,0,0,0,0,0,0,0,0,28,100,175,330.7692308
11,0,0,0,0,0,0,0,0,3.225806452,52,130,212.5,376.9230769
12,0,0,0,0,0,0,0,0,22.58064516,76,160,250,423.0769231
13,0,0,0,0,0,0,0,0,41.93548387,100,190,287.5,469.2307692
14,0,0,0,0,0,0,0,0,61.29032258,124,220,325,515.3846154
15,0,0,0,0,0,0,0,14.28571429,80.64516129,148,250,362.5,561.5384615
16,0,0,0,0,0,0,0,31.42857143,100,172,280,400,607.6923077
17,0,0,0,0,0,0,10.63829787,48.57142857,119.3548387,196,310,437.5,653.8461538
18,0,0,0,0,0,0,23.40425532,65.71428571,138.7096774,220,340,475,700
19,0,0,0,0,0,0,36.17021277,82.85714286,158.0645161,244,370,512.5,746.1538462
20,0,0,0,0,0,0,48.93617021,100,177.4193548,268,400,550,792.3076923
21,0,0,0,0,0,3.571428571,61.70212766,117.1428571,196.7741935,292,430,587.5,838.4615385
22,0,0,0,0,0,14.28571429,74.46808511,134.2857143,216.1290323,316,460,625,884.6153846
23,0,0,0,0,0,25,87.23404255,151.4285714,235.483871,340,490,662.5,930.7692308
24,0,0,0,0,0,35.71428571,100,168.5714286,254.8387097,364,520,700,976.9230769
25,0,0,0,0,5.46875,46.42857143,112.7659574,185.7142857,274.1935484,388,550,737.5,1023.076923
26,0,0,0,0,14.0625,57.14285714,125.5319149,202.8571429,293.5483871,412,580,775,1069.230769
27,0,0,0,0,22.65625,67.85714286,138.2978723,220,312.9032258,436,610,812.5,1115.384615
28,0,0,0,0,31.25,78.57142857,151.0638298,237.1428571,332.2580645,460,640,850,1161.538462
29,0,0,0,6.982758621,39.84375,89.28571429,163.8297872,254.2857143,351.6129032,484,670,887.5,1207.692308
30,0,0,0,14.13793103,48.4375,100,176.5957447,271.4285714,370.9677419,508,700,925,1253.846154
31,0,0,0,21.29310345,57.03125,110.7142857,189.3617021,288.5714286,390.3225806,532,730,962.5,1300
32,0,0,0,28.44827586,65.625,121.4285714,202.1276596,305.7142857,409.6774194,556,760,1000,1346.153846
33,0,0,0,35.60344828,74.21875,132.1428571,214.893617,322.8571429,429.0322581,580,790,1037.5,1392.307692
34,0,0,0,42.75862069,82.8125,142.8571429,227.6595745,340,448.3870968,604,820,1075,1438.461538
35,0,0,0,49.9137931,91.40625,153.5714286,240.4255319,357.1428571,467.7419355,628,850,1112.5,1484.615385
36,0,0,0,57.06896552,100,164.2857143,253.1914894,374.2857143,487.0967742,652,880,1150,1530.769231
37,0,0,6.25,64.22413793,108.59375,175,265.9574468,391.4285714,506.4516129,676,910,1187.5,1576.923077
38,0,0,12.5,71.37931034,117.1875,185.7142857,278.7234043,408.5714286,525.8064516,700,940,1225,1623.076923
39,0,0,18.75,78.53448276,125.78125,196.4285714,291.4893617,425.7142857,545.1612903,724,970,1262.5,1669.230769
40,0,0,25,85.68965517,134.375,207.1428571,304.2553191,442.8571429,564.516129,748,1000,1300,1715.384615
41,0,5,31.25,92.84482759,142.96875,217.8571429,317.0212766,460,583.8709677,772,1030,1337.5,1761.538462
42,0,10,37.5,100,151.5625,228.5714286,329.787234,477.1428571,603.2258065,796,1060,1375,1807.692308
43,0,15,43.75,107.1551724,160.15625,239.2857143,342.5531915,494.2857143,622.5806452,820,1090,1412.5,1853.846154
44,0,20,50,114.3103448,168.75,250,355.3191489,511.4285714,641.9354839,844,1120,1450,1900
45,0,25,56.25,121.4655172,177.34375,260.7142857,368.0851064,528.5714286,661.2903226,868,1150,1487.5,1946.153846
46,0,30,62.5,128.6206897,185.9375,271.4285714,380.8510638,545.7142857,680.6451613,892,1180,1525,1992.307692
47,0,35,68.75,135.7758621,194.53125,282.1428571,393.6170213,562.8571429,700,916,1210,1562.5,2038.461538
48,0,40,75,142.9310345,203.125,292.8571429,406.3829787,580,719.3548387,940,1240,1600,2084.615385
49,2.222222222,45,81.25,150.0862069,211.71875,303.5714286,419.1489362,597.1428571,738.7096774,964,1270,1637.5,2130.769231
50,6.296296296,50,87.5,157.2413793,220.3125,314.2857143,431.9148936,614.2857143,758.0645161,988,1300,1675,2176.923077
51,10.37037037,55,93.75,164.3965517,228.90625,325,444.6808511,631.4285714,777.4193548,1012,1330,1712.5,2223.076923
52,14.44444444,60,100,171.5517241,237.5,335.7142857,457.4468085,648.5714286,796.7741935,1036,1360,1750,2269.230769
53,18.51851852,65,106.25,178.7068966,246.09375,346.4285714,470.212766,665.7142857,816.1290323,1060,1390,1787.5,2315.384615
