bvets vehicle performance table 0.01,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,3866.332691
5,0,0,0,0,0,0,0,0,0,0,0,0,11725.81141
6,0,0,0,0,0,0,0,0,0,0,0,0,19901.56329
7,0,0,0,0,0,0,0,0,0,0,0,5315.89383,28393.58833
8,0,0,0,0,0,0,0,0,0,0,1570.162345,11725.81141,37201.88655
9,0,0,0,0,0,0,0,0,0,0,6581.174168,18344.51869,46326.45793
10,0,0,0,0,0,0,0,0,0,0,11725.81141,25172.01568,55767.30247
11,0,0,0,0,0,0,0,0,0,3558.532025,17004.07405,32208.30238,65524.42019
12,0,0,0,0,0,0,0,0,0,7599.411583,22415.96212,39453.37878,75597.81107
13,0,0,0,0,0,0,0,0,1889.42103,11725.81141,27961.47559,46907.24489,85987.47511
14,0,0,0,0,0,0,0,0,5112.598503,15937.73149,33640.61448,54569.90072,96693.41233
15,0,0,0,0,0,0,0,0,8391.395295,20235.17184,39453.37878,62441.34624,107715.6227
16,0,0,0,0,0,0,0,162.9881241,11725.81141,24618.13246,45399.7685,70521.58148,119054.1063
17,0,0,0,0,0,0,0,2988.244762,15115.84683,29086.61334,51479.78362,78810.60642,130708.863
18,0,0,0,0,0,0,0,5857.134189,18561.50158,33640.61448,57693.42416,87308.42108,142679.8928
19,0,0,0,0,0,0,940.0768339,8769.656403,22062.77565,38280.13589,64040.69011,96015.02543,154967.1959
20,0,0,0,0,0,0,3048.830661,11725.81141,25619.66903,43005.17756,70521.58148,104930.4195,167570.7721
21,0,0,0,0,0,0,5181.781031,14725.59919,29232.18174,47815.7395,77136.09826,114054.6033,180490.6215
22,0,0,0,0,0,0,7338.927945,17769.01977,32900.31376,52711.8217,83884.24045,123387.5768,193726.744
23,0,0,0,0,0,0,9520.271403,20856.07314,36624.0651,57693.42416,90766.00805,132929.3399,207279.1397
24,0,0,0,0,0,865.2117098,11725.81141,23986.75929,40403.43576,62760.54689,97781.40107,142679.8928,221147.8086
25,0,0,0,0,0,2632.701515,13955.54795,27161.07823,44238.42573,67913.18988,104930.4195,152639.2355,235332.7507
26,0,0,0,0,0,4417.235377,16209.48104,30379.02996,48129.03503,73151.35314,112213.0633,162807.3678,249833.9659
27,0,0,0,0,0,6218.813297,18487.61067,33640.61448,52075.26365,78475.03666,119629.3326,173184.2898,264651.4543
28,0,0,0,0,133.7879888,8037.435276,20789.93685,36945.83179,56077.11158,83884.24045,127179.2273,183770.0015,279785.2158
29,0,0,0,0,1544.41312,9873.101311,23116.45957,40294.68188,60134.57883,89378.9645,134862.7474,194564.5029,295235.2505
30,0,0,0,0,2966.003336,11725.81141,25467.17883,43687.16476,64247.6654,94959.20881,142679.8928,205567.7941,311001.5584
31,0,0,0,0,4398.558636,13595.56556,27842.09464,47123.28043,68416.37129,100624.9734,150630.6638,216779.8749,327084.1394
32,0,0,0,0,5842.079021,15482.36377,30241.20699,50603.02888,72640.6965,106376.2582,158715.0601,228200.7455,343482.9937
33,0,0,0,847.0164034,7296.56449,17386.20603,32664.51589,54126.41013,76920.64103,112213.0633,166933.0818,239830.4058,360198.121
34,0,0,0,2025.366282,8762.015044,19307.09236,35112.02133,57693.42416,81256.20487,118135.3887,175284.729,251668.8557,377229.5216
35,0,0,0,3211.317441,10238.43068,21245.02274,37583.72331,61304.07098,85647.38803,124143.2344,183770.0015,263716.0954,394577.1953
36,0,0,0,4404.86988,11725.81141,23199.99718,40079.62184,64958.35059,90094.19052,130236.6003,192388.8995,275972.1248,412241.1422
37,0,0,0,5606.023599,13224.15721,25172.01568,42599.71691,68656.26299,94596.61232,136415.4864,201141.4229,288436.9439,430221.3622
38,0,0,0,6814.7786,14733.4681,27161.07823,45144.00852,72397.80817,99154.65344,142679.8928,210027.5717,301110.5527,448517.8554
39,0,0,0,8031.13488,16253.74408,29167.18485,47712.49668,76182.98614,103768.3139,149029.8195,219047.3459,313992.9512,467130.6218
40,0,0,0,9255.092441,17784.98514,31190.33552,50305.18138,80011.7969,108437.5936,155465.2665,228200.7455,327084.1394,486059.6614
41,0,0,133.7879888,10486.65128,19327.19129,33230.53025,52922.06263,83884.24045,113162.4927,161986.2337,237487.7705,340384.1174,505304.9741
42,0,0,1158.609729,11725.81141,20880.36252,35287.76903,55563.14042,87800.31679,117943.0111,168592.7212,246908.421,353892.885,524866.5599
43,0,0,2189.231183,12972.57281,22444.49883,37362.05188,58228.41475,91760.02591,122779.1488,175284.729,256462.6968,367610.4424,544744.419
44,0,0,3225.652351,14226.93549,24019.60023,39453.37878,60917.88563,95763.36782,127670.9058,182062.257,266150.5981,381536.7894,564938.5512
45,0,0,4267.873234,15488.89945,25605.66671,41561.74974,63631.55305,99810.34252,132618.2822,188925.3052,275972.1248,395671.9262,585448.9566
46,0,0,5315.89383,16758.4647,27202.69828,43687.16476,66369.41701,103900.95,137621.2779,195873.8738,285927.2769,410015.8526,606275.6351
