BveTs Vehicle Performance Table 1.00,
#,
0,470
1,470
2,470
3,470
4,470
5,470
6,470
7,470
8,470
9,470
10,470
11,470
12,470
13,470
14,470
15,470
16,470
17,470
18,470
19,470
20,470
21,470
22,470
23,470
24,470
25,470
26,470
27,470
28,470
29,470
30,470
31,470
32,470
33,470
34,470
35,470
36,470
37,470
38,470
39,470
40,470
41,470
42,470
43,470
44,470
45,470
46,470
47,470
48,470
49,470
50,470
51,470
52,470
53,470
54,470
55,470
56,470
57,470
58,470
59,470
60,470
61,470
62,470
63,470
64,470
65,470
66,470
67,470
68,470
69,470
70,470
71,470
72,470
73,470
74,470
75,470
76,470
77,470
78,470
79,470
80,470
81,470
82,470
83,470
84,470
85,470
86,470
87,470
88,470
89,470
90,470
91,470
92,470
93,470
94,460
95,449.0196078
96,438.4615385
97,428.3018868
98,418.5185185
99,409.0909091
100,400
101,391.2280702
102,382.7586207
103,374.5762712
104,366.6666667
105,359.0163934
106,351.6129032
107,344.4444444
108,337.5
109,330.7692308
110,324.2424242
111,317.9104478
112,311.7647059
113,305.7971014
114,300
115,294.3661972
116,288.8888889
117,283.5616438
118,278.3783784
119,273.3333333
120,268.4210526
121,263.6363636
122,258.974359
123,254.4303797
124,250
125,245.6790123
126,241.4634146
127,237.3493976
128,233.3333333
129,229.4117647
130,225.5813953
131,221.8390805
132,218.1818182
133,214.6067416
134,211.1111111
135,207.6923077
136,204.3478261
137,201.0752688
138,197.8723404
139,194.7368421
140,191.6666667
141,188.6597938
142,185.7142857
143,182.8282828
144,180
145,177.2277228
146,174.5098039
147,171.8446602
148,169.2307692
149,166.6666667
150,164.1509434
151,161.682243
152,159.2592593
153,156.8807339
154,154.5454545
155,152.2522523
156,150
157,147.7876106
158,145.6140351
159,143.4782609
