BveTs Motor Noise Table 1.00:shift_jis
#
0,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,
0.4,,,,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
1.2,,,,,,,,,,,,,,,,
1.4,,,,,,,,,,,,,,,,
1.6,,,,,,,,,,,,,,,,
1.8,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
2.2,,,,,,,,,,,,,,,,
2.4,,,,,,,,,,,,,,,,
2.6,,,,,,,,,,,,,,,,
2.8,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,,
3.4,,,,,,,,,,,,,,,,
3.6,,,,,,,,,,,,,,,,
3.8,,,,,,,,,,,,,,,,
4,,,,0.6,,,,,,,,,,,0.6,
4.2,,,,0.65,,,,,,,,,,,0.65,
4.4,,,,0.7,,,,,,,,,,,0.7,
4.6,,,,0.75,,,,,,,,,,,0.75,
4.8,,,,0.8,,,,,,,,,,,0.8,
5,,,,0.85,,,,,,,,,,,0.85,
5.2,,,,0.87,,,,,,,,,,,0.87,
5.4,,,,0.89,,,,,,,,,,,0.89,
5.6,,,,0.91,,,,,,,,,,,0.91,
5.8,,,,0.93,,,,,,,,,,,0.93,
6,,,,0.95,,,,,,,,,,,0.95,
6.2,,,,0.97,,,,,,,,,,,0.97,
6.4,,,,0.99,,,,,,,,,,,0.99,
6.6,,,,1.01,,,,,,,,,,,1.01,
6.8,,,,1.03,,,,,,,,,,,1.03,
7,,,,1.05,,,,,,,,,,,1.05,
7.2,,,,1.07,,,,,,,,,,,1.07,
7.4,,,,1.09,,,,,,,,,,,1.09,
7.6,,,,1.11,,,,,,,,,,,1.11,
7.8,,,,1.13,,,,,,,,,,,1.13,
8,,,,1.15,,,,,,,,,,,1.15,
8.2,,,,1.17,,,,,,,,,,,1.17,
8.400001,,,,1.19,,,,,,,,,,,1.19,
8.6,,,,1.21,,,,,,,,,,,1.21,
8.8,,,,1.23,,,,,,,,,,,1.23,
9,,,,1.25,,,,,,,,,,,1.25,
