bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,
#,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
#k,9.80665,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.2704026
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524.762154
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.1128357,2893.857171
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.1437084,1361.066647,4281.555453
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538.49839,2578.808016,5687.857
16,0,0,0,0,0,0,0,0,0,0,0,0,0,269.2685365,2560.24706,3811.336942,7112.761812
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.421536,3592.389718,5058.653425,8556.26989
18,0,0,0,0,0,0,0,0,0,0,0,0,0,2043.552566,4634.926365,6320.757465,10018.38123
19,0,0,0,0,0,0,0,0,0,0,0,0,538.8439191,2942.661628,5687.857,7597.649061,11499.09584
20,0,0,0,0,0,0,0,0,0,0,0,0,1314.165058,3849.748721,6751.181623,8889.328215,12998.41371
21,0,0,0,0,0,0,0,0,0,0,0,174.2704026,2095.607913,4764.813845,7824.900235,10195.79493,14516.33485
22,0,0,0,0,0,0,0,0,0,0,0,847.1908703,2883.172485,5687.857,8909.012836,11517.04919,16052.85926
23,0,0,0,0,0,0,0,0,0,0,0,1524.762154,3676.858772,6618.878186,10003.51942,12853.09102,17607.98692
24,0,0,0,0,0,0,0,0,0,0,0,2206.984254,4476.666776,7557.877404,11108.42,14203.9204,19181.71786
25,0,0,0,0,0,0,0,0,0,0,0,2893.857171,5282.596496,8504.854653,12223.71457,15569.53734,20774.05206
26,0,0,0,0,0,0,0,0,0,0,284.7844373,3585.380904,6094.647933,9459.809933,13349.40312,16949.94183,22384.98952
