bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,
#,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
jerkregulation_up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jerkregulation_down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
currentlimitingtime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
requirednotch_up,2,3,4,5,6,7,8,9,10,0,0,0,0,0,0,0,0
requirednotch_down,-1,1,2,3,4,5,6,7,8,-1,-1,-1,-1,-1,-1,-1,-1
stepdelay_up,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315
stepdelay_down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cutoffcurrent_empty,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
cutoffcurrent_full,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
BreakerDelay_On,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
