bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,P1Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011,Q1112,P1213,Q1314,P1415,Q1516,P1617Q17,WF1,WF2,WF3,WF4
0,175,240,320,365,430,500,570,675,800,1054.43029,1900,14525.95515,15417.77778,13843.71568,9643.435794,7973.891735,6385.066667,360,590,670,800,985.5912386,1298.196344,1991.210748,6913.069859,33933.18872,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
1,171.6180371,233.8095238,311.5,355.2763819,417.1108419,484.1671102,552.1276596,649.4594595,768.011811,993.8720174,1687.586207,8473.170732,15417.77778,13843.71568,9643.435794,7973.891735,6385.066667,355.3757225,579.6655604,657.5602517,784.287774,962.022293,1256.536533,1889.256342,5720.212766,33933.18872,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
2,168.359375,227.9381443,303.2481752,345.8475101,404.6967895,468.9781022,534.947839,625.2631579,737.7990431,938.8079984,1515,5289.35236,11525,13843.71568,9643.435794,7973.891735,6385.066667,350.8141962,569.5761857,645.4325909,768.9925755,939.2808255,1217.015638,1796.237909,4871.036657,33933.18872,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
3,165.2173913,222.361809,295.2338129,336.7001828,392.732049,454.3944813,518.4210526,602.3076923,709.2178771,888.5229664,1372,3825,6520,13843.71568,9643.435794,7973.891735,6385.066667,346.3141524,559.723261,633.6054185,754.098019,917.3240103,1179.473057,1711.029958,4235.714286,19441.45427,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
4,162.1859296,217.0588235,287.4468085,327.8219754,381.1926606,440.3807615,502.5107604,580.5,682.1396192,842.4206467,1251.578947,2983.343849,4518,13843.71568,9643.435794,7973.891735,6385.066667,341.8743563,550.0985707,622.0677036,739.5885665,896.1119265,1143.763874,1632.688391,3742.495922,12275.63452,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
5,159.2592593,212.0095694,279.8776224,319.2011834,370.056338,426.9041769,487.1830986,559.7560976,656.4487633,800,1148.780488,2436.836629,3440,13843.71568,9643.435794,7973.891735,6385.066667,337.4936061,540.6942753,610.8089481,725.449473,875.6073164,1109.756987,1560.415375,3348.500163,8943.353474,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
6,156.4320388,207.1962617,272.5172414,310.8267717,359.3023256,413.9344262,472.406639,540,632.0413437,760.8369393,1060,2053.386454,2766.25,13843.71568,9643.435794,7973.891735,6385.066667,333.1707317,531.5028902,599.8191561,711.666737,855.7753665,1077.333505,1493.532073,3026.521997,7017.546755,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
7,153.699284,202.6027397,265.3571429,302.6883266,348.9112684,401.4434453,458.1521739,521.1627907,608.8235294,724.5701023,982.5531915,1769.491525,2305.263158,7451.162791,9643.435794,7973.891735,6385.066667,328.9045936,522.517266,589.0888031,698.2270538,836.5835108,1046.385356,1431.457254,2758.469055,5762.929599,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
8,151.056338,198.2142857,258.3892617,294.7760136,338.8650964,389.4052045,444.3925234,503.1818182,586.7104184,690.8896689,914.4,1550.835322,1970,4779.130435,9643.435794,7973.891735,6385.066667,324.6940822,513.7305699,578.6088094,685.117773,818.001252,1016.814084,1373.690365,2531.840952,4880.685921,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
9,148.4988453,194.0174672,251.6059603,287.0805369,329.1469194,377.7955272,431.1023622,486,565.625,659.5284872,853.9622642,1377.247706,1715.2,3498.113208,9643.435794,7973.891735,6385.066667,320.5381166,505.1362683,568.3705141,672.3268585,800,988.5298033,1319.797994,2337.723785,4226.456719,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
