bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4
0,12253.11498,20747.73327,30683.83105,38245.935,46307.78583,58691.62345,81622.4106,136811.6084,350723.1259,3844453.981,2765581.475,2765581.475,2765581.475,71846.1254,98267.77604,151991.0986,334049.8455,2064899.134,22873517.82,18515015.33,12411732.23,10601756.71,8337882.985,6317108.671,5692514.954,5575222.515,9156985.373,17788139.97,14094.31351,22471.93848,31516.8079,37917.41223,45759.5941,55216.34283,72304.71739,103307.2915,177929.1425,1145548.021,5806815.87,4391241.441,4391241.441,52802.73013,62654.88298,76531.00932,91914.25786,118778.8001,161266.7527,215320.868,389570.8057,2053342.94,2994181.088,13351984.52,21176195.72,41845046.69,55586065.31,2244317.636,13107.56839,22492.53244,30542.7722,36896.77532,43521.9127,53967.99551,67563.89584,101801.6039,200259.5416,952374.9541,3912475.451,4100617.863,2915979.77,50418.18434,58806.51816,71699.35655,84053.75968,102863.1409,134293.285,168950.4833,284293.6263,392870.5101,1050418.601,17942732.03,25533200.31,36322959.7,32838735.77,26880055.97
1,11861.51133,19865.91225,29058.50238,36023.75427,43635.98952,54729.58188,75085.67651,119475.7697,269680.681,3844453.981,2765581.475,2765581.475,2765581.475,69333.0155,93740.33444,142557.4763,294080.126,1383254.96,22873517.82,18515015.33,12411732.23,10601756.71,8337882.985,6317108.671,5692514.954,5575222.515,9156985.373,17788139.97,13637.14561,21595.41848,30078.46457,36050.59336,43357.33279,52435.47685,67778.66148,94139.20762,154525.0185,672120.0055,5806815.87,4391241.441,4391241.441,51531.45499,61041.09683,74210.79747,88704.2019,113523.4022,152502.6253,201382.1975,350366.0642,1505629.93,2053342.94,13351984.52,21176195.72,41845046.69,17736267.3,1684007.623,12686.59652,21608.23196,29115.56822,35217.68914,41348.18077,50899.68472,63502.69141,93045.28581,169547.1924,591050.7182,3912475.451,4100617.863,2915979.77,49298.83274,57324.47343,69592.13959,81397.6192,99064.85361,128179.908,160157.3965,260942.0353,356190.0807,850226.0878,17942732.03,25533200.31,36322959.7,32838735.77,9022240.492
2,11486.04041,19037.03866,27560.95338,33993.94158,41188.98358,51165.56915,69333.0155,105468.0943,215408.0519,3844453.981,2765581.475,2765581.475,2765581.475,66944.55215,89523.42429,134007.1495,261317.6606,999635.8761,22873517.82,18515015.33,12411732.23,10601756.71,8337882.985,6317108.671,5692514.954,5575222.515,9156985.373,17788139.97,13195.41104,20761.31385,28729.58351,34311.23727,41133.53673,49843.48771,63656.8839,86201.04372,135788.7077,452027.9282,5806815.87,4391241.441,4391241.441,50296.78367,59476.71688,71981.91207,85646.90212,108607.1673,144443.031,188788.661,317069.2171,1157477.759,1505629.93,13351984.52,21176195.72,41845046.69,7516325.78,1315881.303,12279.68663,20766.11854,27780.19409,33639.45314,39323.5214,48078.27921,59785.56747,85421.28844,145969.6076,411231.42,3912475.451,4100617.863,2915979.77,48205.99248,55886.84659,67563.89584,78851.38579,95459.81099,122468.1735,152034.1551,240503.8774,324635.6983,704936.3893,17942732.03,25533200.31,36322959.7,32838735.77,4566011.412
3,11125.74112,18256.59219,26177.1145,32133.37971,38940.68483,47945.02508,64237.96295,93956.65992,177050.5982,3844453.981,2765581.475,2765581.475,2765581.475,64672.26004,85588.09538,126229.4702,234086.3234,761309.86,22873517.82,18515015.33,12411732.23,10601756.71,8337882.985,6317108.671,5692514.954,5575222.515,9156985.373,17788139.97,12768.35471,19966.68416,27462.27612,32687.08904,39069.65991,47422.57174,59889.82987,79270.79209,120507.6176,330145.7756,5806815.87,4391241.441,4391241.441,49097.25059,57959.66154,69839.40401,82732.38362,104000.2026,137011.5088,177366.8332,288520.2238,921632.5679,1157477.759,13351984.52,21176195.72,41845046.69,4187676.023,1060438.573,11886.15418,19963.29797,26528.23269,32153.4848,37433.53564,45476.04732,56372.19382,78731.44657,127388.4415,307270.5312,3912475.451,4100617.863,2915979.77,47138.79167,54491.78264,65610.51484,76408.77426,92034.48632,117122.0566,144511.6576,222497.2737,297268.9815,595839.2974,17942732.03,25533200.31,26236680.03,32838735.77,2791444.941
4,10779.72631,17520.54436,24894.86822,30422.43111,36868.78987,45022.65609,59699.07546,84358.16099,148791.7088,3844453.981,2765581.475,2765581.475,2765581.475,62508.38585,81908.7543,119130.8334,211175.1901,602476.2855,22873517.82,18515015.33,12411732.23,10601756.71,8337882.985,6317108.671,5692514.954,5575222.515,9156985.373,17788139.97,12355.26936,19208.85039,26269.53858,31167.3853,37149.58486,45157.03346,56435.50555,73175.50022,107845.3645,254722.1887,1632038.6,4391241.441,4391241.441,47931.46451,56487.95972,67778.66148,79951.48828,99675.90176,130141.8653,166970.7513,263833.3496,753969.5753,921632.5679,13351984.52,21176195.72,19743783.49,2692227.41,875537.367,11505.35797,19197.13131,25352.25077,30752.13056,35665.58524,43069.17381,53228.15268,72820.19634,112423.8442,240975.4383,3912475.451,4100617.863,2915979.77,46096.39473,53137.52475,63728.15645,74063.95217,88776.54084,112109.5611,137529.6418,206537.4356,273359.2463,511617.6338,17942732.03,25533200.31,8066375.865,28655998.64,1902696.629
5,10447.17585,16825.29427,23703.72671,28844.31716,34954.1268,42360.58443,55634.15456,76253.09097,127274.7827,3844453.981,2765581.475,2765581.475,2765581.475,60445.82498,78462.70367,112631.5987,191691.0064,490914.2586,22873517.82,18515015.33,12411732.23,10601756.71,8337882.985,6317108.671,5692514.954,5575222.515,9156985.373,17788139.97,11955.49186,18485.36687,25145.13273,29742.63715,35359.24388,43032.98849,53258.11604,67778.66148,97208.72458,204321.0119,798454.0969,4391241.441,4391241.441,46798.10392,55059.74375,65795.3825,77295.79491,95610.51584,123776.5499,157476.8201,242322.4489,630181.0226,753969.5753,13351984.52,21176195.72,7272981.805,1890168.178,737116.0342,11136.69669,18465.20763,24245.6607,29428.54521,34008.5353,40837.10239,50323.91203,67563.89584,100150.2843,195673.341,3461986.957,4100617.863,2915979.77,45078.00059,51822.408,61913.22948,71811.50072,85674.69939,107402.1856,131035.3497,192313.9296,252330.3756,445088.4578,17942732.03,25533200.31,3963565.498,8100151.835,1391805.424
6,10127.33049,16167.61399,22594.57056,27384.62418,33180.13413,39926.91799,51975.97792,69333.0155,110446.3615,1538255.242,2765581.475,2765581.475,2765581.475,58478.05684,75229.75385,106663.6436,174962.6468,409295.7404,13485686.14,18515015.33,12411732.23,10601756.71,8337882.985,6317108.671,5692514.954,5575222.515,9156985.373,17788139.97,11568.39986,17793.99672,24083.48562,28404.44969,33686.30817,41038.11458,50326.98346,62971.25777,88166.68683,168690.5373,489399.8731,4391241.441,4391241.441,45695.9129,53673.24286,63885.55004,74757.54856,91782.78935,117865.3228,148779.791,223449.0296,535957.7855,630181.0226,13351984.52,21176195.72,3824899.713,1408544.592,630607.186,10779.60601,17765.32017,23202.60488,28176.5893,32452.5403,38762.00495,47634.00304,62863.16751,89926.44925,163085.9126,1069327.576,4100617.863,2915979.77,44082.84094,50544.85363,60162.37238,69646.37972,82718.64103,102974.4703,124982.4231,179573.9459,233722.9446,391507.9679,17942732.03,20961258.96,2391968.165,3876730.422,1069695.238
7,9819.486356,15544.60208,21559.4357,26030.90736,31532.43902,37694.63439,48669.10285,63366.7345,96989.43329,659465.122,2765581.475,2765581.475,2765581.475,56599.08754,72191.89452,101168.406,160477.5954,347608.3935,4545127.795,18515015.33,12411732.23,10601756.71,8337882.985,6317108.671,5692514.954,5575222.515,9156985.373,17788139.97,11193.40873,17132.69027,23079.60422,27145.37089,32119.93123,39161.44205,47615.681,58665.28812,80399.45682,142395.6755,338321.3313,4391241.441,4391241.441,44623.69715,52326.77722,62045.40936,72329.5976,88173.64912,112364.1589,140789.5636,206785.4765,462418.1554,535957.7855,13351984.52,21176195.72,2387971.155,1095703.233,546762.8439,10433.55571,17095.44539,22217.85831,26990.74172,30988.8653,36828.3501,45136.35616,58637.31852,81295.48355,138698.0203,550140.1328,2629040.642,2915979.77,43110.17866,49303.36362,58472.43556,67563.89584,79898.90261,98803.61131,119329.9857,168109.8203,217166.7865,347636.8733,17942732.03,6151694.412,1620296.461,2314063.433,852677.0535
8,9522.990056,14953.64382,20591.33853,24772.37066,29998.51368,35640.70253,45667.44382,58177.9531,86025.6918,380601.7631,2765581.475,2765581.475,2765581.475,54803.39919,69333.0155,96095.30515,147838.7208,299728.665,2311861.98,18515015.33,12411732.23,10601756.71,8337882.985,6317108.671,5692514.954,5575222.515,9156985.373,17788139.97,10829.9688,16499.56611,22129.00288,25958.76467,30650.53591,37393.17664,45101.33465,54789.02112,73665.34083,122321.9187,251888.2691,2802321.157,4391241.441,43580.32041,51018.75226,60271.44759,70005.33763,84765.93795,107234.3388,133428.6217,191988.5711,403804.9686,462418.1554,13351984.52,21176195.72,1649254.926,880392.5446,479477.0288,10098.04718,16453.72455,21286.74633,25866.02476,29609.73572,35022.55013,42811.76172,54820.21539,73924.06673,119863.8628,348406.4647,947332.2618,2915979.77,42159.30625,48096.51578,56840.4654,65559.67406,77206.79368,94869.13187,114041.8754,157749.6122,202360.8244,311199.4004,17942732.03,2994070.303,1181700.568,1559981.804,698968.4754
9,9237.234252,14392.37703,19684.13156,23599.60663,28567.39369,33745.38506,42932.41589,53630.18057,76949.86624,254431.1347,2765581.475,2765581.475,2765581.475,53085.90468,66638.66878,91400.46008,136734.2445,261734.4553,1420222.228,18515015.33,12411732.23,10601756.71,8337882.985,6317108.671,5692514.954,5575222.515,9156985.373,17788139.97,10477.56277,15892.89438,21227.64123,24838.70369,29269.63666,35724.5491,42764.05642,51283.46312,67778.66148,106572.543,197138.7115,995847.1204,2802321.157,42564.701,49747.65354,58560.375,67778.66148,81544.18566,102441.6922,126629.9651,178780.1328,356249.0444,403804.9686,13351984.52,21176195.72,1217252.04,725477.9024,424582.9594,9772.611151,15838.44737,20405.07472,24797.93973,28308.21066,33332.67052,40643.42876,51357.19285,67563.89584,104942.6495,246667.3212,514031.5624,2915979.77,41229.54444,46922.95906,55263.68956,63629.63177,74634.32108,91152.59951,109086.0005,148349.9117,189058.048,280556.9789,8555129.41,1806452.292,907054.2091,1135603.868,585768.0826
