bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC50Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC60Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4
0,200,290,385,445,525,620,762.5146886,1001.538462,1867.567568,14940.66116,11454.45816,12577.55102,6569.828553,715.6345178,872.4845996,1198.429319,1839.823009,4654.198473,25405.61677,21500,17135.61287,15209.09091,13378.61328,13016.64685,13529.13957,16496.01348,23132.96019,20850.28954,200,300,380,440,520,600,729.6114117,927.176781,1369.316493,5253.846154,16324,12017.60409,12017.60409,590,670,770.5461638,881.9470699,1041.412742,1351.445087,1822.137405,3006.451613,4569.090909,36414.28571,22608.78657,27195.85799,37507.07321,37760.89385,46412.92999,200,290,370,440,500,590,700,903.6076663,1280.310881,2975,13001.53709,11456.07687,11208.11575,560,630,725.0346101,823.2604374,990,1141.044104,1451.533742,1897.368421,3117.127072,6755.755396,25775.27123,28459.375,36432.96953,40890.839,10720.54795
1,195.6059874,283.3823529,374.2205323,431.6398503,507.4046718,598.1818182,730.3479749,947.8688525,1665.853659,10220,11454.45816,12577.55102,6569.828553,700,850.3355705,1154.361055,1730.962343,4012.458655,25405.61677,21500,17135.61287,15209.09091,13378.61328,13016.64685,13529.13957,16496.01348,23132.96019,20850.28954,196.4169381,292.3787529,369.2307692,425.5495848,502.4905252,578.6019971,700,881.6455696,1268.75,3871.428571,10150,12017.60409,12017.60409,580.4266125,658.5338543,755.7124519,862.8664495,1015.217391,1305.617978,1738.461538,2780,4107.894737,18200,22608.78657,27195.85799,37507.07321,20514.51613,23848.73418,193.7219731,283.5227273,359.4498406,426.3440553,482.612782,568.2681189,672.0338983,855.4885923,1189.320388,2494.366197,13001.53709,11456.07687,11208.11575,551.2258437,620.2674897,712.3830176,806.2981106,965.7068063,1110.312913,1400,1812.563238,2890.721649,5686.30137,25775.27123,28459.375,36432.96953,40890.839,8768.862275
2,191.3415794,276.8613139,363.7412962,418.713012,490.519269,577.2858732,700,898.4251969,1500,5988.888889,11454.45816,12577.55102,6569.828553,684.8648649,829.0322581,1112.979351,1633.333333,3521.789883,25405.61677,21500,17135.61287,15209.09091,13378.61328,13016.64685,13529.13957,16496.01348,23132.96019,20850.28954,192.9032258,285.0340136,358.897418,411.8151501,485.8500528,558.3333333,672.2196585,839.6593674,1180.508475,3054.545455,6192.307692,12017.60409,12017.60409,571.0425746,647.3050716,741.2547529,844.3629698,990,1262.295082,1661.267606,2583.17757,3727.027027,12086.9863,22608.78657,27195.85799,37507.07321,14058.84567,15713.92758,187.9049676,277.2239085,349.339335,413.3028035,466.1482159,547.7482051,645.7746479,811.5503397,1109.13242,2142.682927,13001.53709,11456.07687,11208.11575,542.6183844,610.7023168,700,789.8178808,942.2879177,1080.829016,1351.445087,1734.090909,2692.753623,4901.846966,25775.27123,28459.375,36432.96953,40890.839,7413.696893
3,187.2011252,270.4347826,353.5499208,406.1987412,474.301676,557.254902,671.3207547,852.7272727,1361.22449,4207.368421,11454.45816,12577.55102,6569.828553,670.2055623,808.5271318,1074.045802,1545.283019,3134.464752,25405.61677,21500,17135.61287,15209.09091,13378.61328,13016.64685,13529.13957,16496.01348,23132.96019,20850.28954,189.456869,277.9510022,348.9740082,398.7447699,470.015456,539.1069012,646.1056401,800.8196721,1102.457002,2515.09434,4433.333333,12017.60409,12017.60409,561.8423237,636.3063568,727.1589487,826.4108352,965.7068063,1221.276596,1589.830508,2410.526316,3407.18232,9022.622108,22608.78657,27195.85799,37507.07321,10679.85027,11705.71726,182.5,271.096269,339.6415618,400.8356546,450.5347594,528.3416235,621.070615,771.2707182,1037.931034,1874.193548,13001.53709,11456.07687,11208.11575,534.1729164,601.3002023,687.877095,773.7994831,919.6969697,1052.517986,1305.617978,1661.267606,2518.181818,4301.862631,25775.27123,28459.375,36432.96953,31286.95652,6417.821782
4,183.1792976,264.1007194,343.6347056,394.077597,458.7130435,538.036286,644.1762854,810.3649635,1243.396226,3225.714286,11454.45816,12577.55102,6569.828553,656,788.7761573,1037.349398,1465.467626,2820.944882,25405.61677,21500,17135.61287,15209.09091,13378.61328,13016.64685,13529.13957,16496.01348,23132.96019,20850.28954,186.0759494,271.1159737,339.4366197,386.2914208,454.9295775,520.8443272,621.5123859,764.785553,1032.926829,2132.258065,3439.130435,12017.60409,12017.60409,552.8205128,625.5307108,713.4116193,808.9857651,942.2879177,1182.38342,1523.529412,2257.85124,3134.782609,7181.481481,22608.78657,27195.85799,37507.07321,8601.337793,9319.402985,177.4647887,265.1329243,330.3317536,388.9055152,435.7080799,509.9601594,597.7876106,734.2110248,974.2857143,1662.5,8680,11456.07687,11208.11575,525.8849092,592.0570119,676.006192,758.2237725,897.8908189,1025.311203,1262.295082,1593.504532,2363.090129,3828.125,25775.27123,28459.375,36432.96953,17676.38851,5655.075279
5,179.2710706,257.8571429,333.9845758,382.3313413,443.7174785,519.58159,618.4466019,770.9859155,1142.105263,2604,11454.45816,12577.55102,6569.828553,642.2274326,769.7384807,1002.702703,1392.783505,2561.969806,25405.61677,21500,17135.61287,15209.09091,13378.61328,13016.64685,13529.13957,16496.01348,23132.96019,20850.28954,182.7586207,264.516129,330.2631579,374.4124169,440.5405405,503.4749035,598.3108108,731.2636166,970.5947137,1846.478873,2800,12017.60409,12017.60409,543.9720007,614.9714155,700,792.0648838,919.6969697,1145.454545,1461.829653,2121.875,2900,5953.001715,22608.78657,27195.85799,37507.07321,7193.68932,7736.206897,172.7626459,259.3273543,321.3870858,377.4784201,421.6101695,492.5246779,575.8064516,700,917.0542636,1491.304348,5159.88024,11456.07687,11208.11575,517.75,582.96875,664.3795141,743.0726479,876.8292683,999.1452991,1221.276596,1530.291971,2224.390244,3444.580584,25775.27123,28459.375,18523.61257,12299.69466,5052.173913
6,175.4716981,251.7021277,324.5890411,370.9428467,429.281768,501.8461538,594.0239044,734.2857143,1054.098361,2174.929577,11454.45816,12577.55102,6569.828553,628.8683603,751.3761468,969.9386503,1326.315789,2344.444444,25405.61677,21500,17135.61287,15209.09091,13378.61328,13016.64685,13529.13957,16496.01348,23132.96019,20850.28954,179.5031056,258.1395349,321.4331827,363.0689207,426.8011527,486.9346734,576.386037,700,914.3979058,1625,2354.545455,12017.60409,12017.60409,535.2918413,604.62202,686.9119421,775.6266206,897.8908189,1110.344828,1404.268293,2000,2695.545657,5075,22608.78657,27195.85799,20736.36364,6177.243173,6609.090909,168.3615819,253.6733791,312.7864897,366.5232093,408.1885856,475.9639851,555.0209205,668.3213471,865.3136531,1350,3655.555556,11456.07687,11208.11575,509.7639854,574.0315537,652.9896014,728.3289817,856.4748201,973.9616613,1182.38342,1471.186441,2099.6139,3127.710843,25775.27123,28459.375,12229.61165,9420.307692,4563.636364
7,171.7766947,245.6338028,315.4381572,359.8960139,415.3751335,484.7887324,570.8110733,700,976.9230769,1860.97561,11454.45816,12577.55102,6569.828553,615.9044369,733.6538462,938.9078498,1265.299685,2159.15493,13300,21500,17135.61287,15209.09091,13378.61328,13016.64685,13529.13957,16496.01348,23132.96019,20850.28954,176.3076923,251.975052,312.9277567,352.2255193,413.6683889,471.1656442,555.6354916,670.7739308,863.4730539,1448.314607,2026.315789,12017.60409,12017.60409,526.7752755,594.4763271,674.135876,759.6506178,876.8292683,1076.923077,1350.442478,1890.140845,2515.899582,4416.216216,22608.78657,27195.85799,13297.87315,5408.815854,5765.789474,164.2335766,248.1651376,304.5104872,356.0112444,395.3957997,460.2138561,535.3360489,638.9039242,818.3098592,1231.386861,2820.930233,11456.07687,11208.11575,501.9228147,565.2416876,641.8292944,713.9765555,836.7924528,949.7059976,1145.454545,1415.800274,1986.764706,2861.52019,25775.27123,28459.375,9113.608087,7626.254459,4159.741193
8,168.1818182,239.6503497,306.5224913,349.1756948,401.9690123,468.3711747,548.7203791,667.8980892,908.6956522,1621.290323,11454.45816,12577.55102,6569.828553,603.3183857,716.5386887,909.4763092,1209.090909,1999.429875,8672.881356,21500,17135.61287,15209.09091,13378.61328,13016.64685,13529.13957,16496.01348,23132.96019,20850.28954,173.1707317,246.0122699,304.7293093,341.8498548,401.1029412,456.1151079,535.9673025,643.3925049,817.1115348,1304.081633,1774.418605,9647.826087,12017.60409,518.4177215,584.5283815,661.6607774,744.1176471,856.4748201,1045.070423,1300,1790.604027,2356.804734,3903.661327,22608.78657,27195.85799,9770.212766,4807.50109,5111.090742,160.3539823,242.7970671,296.5410428,345.9161582,383.1886346,445.2162028,516.6666667,611.5139637,775.4208754,1130.405405,2290.217391,11456.07687,11208.11575,494.2225826,556.5955383,630.8917197,700,817.74942,926.3279446,1110.344828,1363.793103,1884.210526,2634.750733,25775.27123,28459.375,7253.807947,6401.2006,3820.24479
9,164.683053,233.75,297.8330893,338.767624,389.0368609,452.5581395,527.6723739,637.7777778,847.9452055,1432.307692,5771.698113,12577.55102,6569.828553,591.0939227,700,881.5235008,1157.142857,1860.32,6417.647059,21500,17135.61287,15209.09091,13378.61328,13016.64685,13529.13957,16496.01348,23132.96019,20850.28954,170.0906344,240.2414487,296.8215159,331.9123021,389.0688259,441.7350528,517.2989378,617.6864245,774.7262774,1184.11215,1575,5304.819277,12017.60409,510.2147672,574.7724575,649.476135,729.0095317,836.7924528,1014.678899,1252.631579,1700,2214.925373,3493.511843,22608.78657,27195.85799,7711.172689,4324.131375,4588.087387,156.7010309,237.5638842,288.8614332,336.2136344,371.5277778,430.9183581,498.9361702,585.9488475,736.1290323,1043.396226,1922.988506,6422.946176,11208.11575,486.6595232,548.0896097,620.1702754,686.3847409,799.3150685,903.7807183,1076.923077,1314.864865,1790.604027,2439.249147,25775.27123,22750,6017.998622,5511.502591,3530.882353
10,161.2765957,227.9310345,289.3614458,328.6583553,376.5539804,437.3168411,507.5949367,609.4610778,793.5064935,1279.478261,3780,6700,6569.828553,579.2156863,684.0091376,854.9407115,1108.988764,1738.076152,5082.608696,21500,17135.61287,15209.09091,13378.61328,13016.64685,13529.13957,16496.01348,23132.96019,20850.28954,167.0658683,234.6534653,289.1891892,322.3856859,377.5330396,427.9816514,499.5560488,593.5064935,735.8267717,1082.758621,1413.207547,3640,9647.826087,502.1621622,565.2030484,637.5719217,714.309076,817.74942,985.6502242,1208.064516,1617.177914,2087.610619,3157.865169,22608.78657,27195.85799,6361.651376,3927.104478,4160.674157,153.2554257,232.4605678,281.4561294,326.8812115,360.3773585,417.2724578,482.0754717,562.0320856,700,967.6470588,1653.784861,4078.26087,7143.478261,479.2300033,539.7205181,609.6586178,673.1169475,781.4606742,882.0208024,1045.070423,1268.75,1704.823151,2268.965517,14934.60751,12600,5137.256637,4836.034941,3281.312411
