Bvets Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
#k,9.80665,,,,,,,,,,,,,,,,,,,,,,,
#,0.6,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10679.44185,19071.33249,23990.33478,27216.12829
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9399.172549,16417.82529,21542.54683,30473.15972,42651.57251,54927.04665,59591.446
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10679.44185,15402.02388,22878.85873,32006.7667,40161.68091,53297.65287,69946.83174,91616.99318,97984.48075
12,0,0,0,0,0,0,0,0,0,0,0,0,0,8660.054107,14426.43389,21262.18062,28057.62619,37862.97417,49371.39782,61091.92393,79152.92132,100957.1102,134060.1744,142395.2325
14,0,0,0,0,0,0,0,0,0,0,0,7298.822141,11403.6245,16963.72498,24332.95887,32773.6742,41926.296,54351.51888,68511.71865,84333.2759,108038.965,135682.4078,182256.5903,192823.7014
16,0,0,0,0,0,0,0,0,0,0,7737.528346,14167.0432,18905.40739,25870.38225,35009.54798,45213.92257,57008.0333,72344.49284,89427.72919,109885.7368,139955.7841,174122.7246,236206.2408,249269.8873
18,0,0,0,0,0,0,0,0,0,6706.397684,13702.0361,21463.1908,26879.83827,35380.02592,46456.20122,58582.92574,73302.83809,91841.89607,112119.4295,137749.3067,174903.3784,216278.0606,295909.126,311733.7902
