bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4
0,200,280,370,440,520,630,826.9230769,1207.97546,2227.133758,8660.97561,9065.042674,7034.2,6439.045747,670,873.549884,1054.773562,1639.318707,3120,12400,19240.29732,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
1,193.9130435,268.9771198,353.9920949,419.0731354,488.8888889,590.3914591,758.9285714,1085.47486,1829.112583,4780,9065.042674,7034.2,6439.045747,652.4017467,845.2427184,1012.237423,1541.312283,2761.417323,8200,19240.29732,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
2,188.0851064,258.616188,338.9655172,399.5804196,460.724234,554.6700508,700,983.0769231,1545.714286,3274.132492,9065.042674,7034.2,6439.045747,635.4077253,818.2421752,972.3300971,1452.933009,2472.511848,6100,19240.29732,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
3,182.5,248.8593156,324.8327138,381.3793103,435.106383,522.2903226,648.4375,896.2085308,1333.657086,2473.913043,9065.042674,7034.2,6439.045747,618.9873418,792.4598269,934.8151899,1372.828784,2234.773218,4840,19240.29732,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
4,177.1428571,239.6551724,311.5162455,364.3455497,411.7048346,492.8043143,602.9411765,821.5859031,1169.014085,1977.495108,9065.042674,7034.2,6439.045747,603.1120332,767.8150499,899.4838266,1299.889381,2035.714286,4000,19240.29732,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
5,172,230.9580838,298.9473684,348.3703234,390.2439024,465.840708,562.5,756.7901235,1037.482185,1639.473684,7327.118644,7034.2,6439.045747,587.755102,744.234181,866.1507595,1233.194676,1866.605505,3400,19240.29732,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
6,167.0588235,222.7272727,287.0648464,333.3579336,370.4918033,441.0891089,526.3157895,700,929.9856115,1394.468085,3993.915757,7034.2,6439.045747,572.8915663,721.6497829,834.6511196,1171.975631,1721.16041,2950,19240.29732,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
7,162.3076923,214.9262202,275.8139535,319.2238806,352.2522523,418.2880435,493.75,649.8181818,840.4878049,1208.72818,2722.413793,7034.2,6439.045747,558.4980237,700,804.8376888,1115.584506,1594.736842,2600,19240.29732,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
8,157.7358491,207.5221239,265.1456311,305.8932715,335.3579176,397.2156863,464.2857143,605.1546392,764.8175182,1063.070078,2051.604938,7034.2,6439.045747,544.5525292,679.2279922,776.5785997,1063.47185,1483.832335,2320,19240.29732,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
9,153.3333333,200.4854369,255.0157729,293.2994924,319.665272,377.6826196,437.5,565.1465798,700,945.7831325,1637.150466,6387.272727,6439.045747,531.0344828,659.2814371,749.7553858,1015.168539,1385.754584,2090.909091,11269.56522,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
10,149.0909091,193.7894737,245.3846154,281.3830955,305.0505051,359.5261239,413.0434783,529.1021672,643.8566913,849.3138152,1355.673561,3306.666667,6439.045747,517.9245283,640.1120897,724.2613208,970.2716172,1298.4,1900,7034.85342,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
11,145,187.4100719,236.2162162,270.0908605,291.40625,342.6056338,390.625,496.460177,594.7555556,768.5714286,1152.023121,2213.548387,4047.692308,505.204461,621.6753927,700,928.4330244,1220.101138,1738.461538,5090.589354,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
12,141.0526316,181.3253012,227.4780059,259.375,278.6389414,326.7990919,370,466.7605634,551.4498141,700,997.8417266,1653.658537,2458.383838,492.8571429,603.930131,676.8841215,889.3505587,1149.519231,1600,3974.074074,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
13,137.2413793,175.515211,219.1404011,249.1924835,266.6666667,312,350.9615385,439.6226415,512.9706011,641.0404624,877.0566038,1313.333333,1756.31068,480.866426,586.8381241,654.8344371,852.7605634,1085.56701,1480,3249.475632,17198.96809,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
14,133.559322,169.9616123,211.1764706,239.5044599,255.4174067,298.115016,333.3333333,414.7286822,478.553616,589.8041864,779.8774259,1084.590164,1360.645161,469.2170819,570.3639515,633.778844,818.431972,1027.352298,1375,2741.249016,10547.56098,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
15,130,164.6478873,203.5616438,230.275762,244.8275862,285.0619835,316.9642857,391.8114144,447.5878405,544.8669202,700,920.2816901,1106.728972,457.8947368,554.4747082,613.6515975,786.1614236,974.1361257,1282.352941,2365.068493,6471.604938,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
16,126.557377,159.5588235,196.2734584,221.4744802,234.840871,272.7683049,301.7241379,370.6443914,419.5789474,505.1343284,633.1814298,796.5432099,929.9603699,446.8858131,539.1397849,594.3926255,755.7692308,925.3012048,1200,2075.388967,4646.12711,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
17,123.2258065,154.680468,189.2913386,213.0715935,225.4071661,261.1695906,287.5,351.0344828,394.1227126,469.751693,576.4612954,700,799.8165138,436.1774744,524.3306717,575.9469292,727.0960328,880.3278689,1126.315789,1845.45125,3610.505837,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
18,120,150,182.596401,205.0406504,216.481775,250.2085308,274.1935484,332.8159645,370.8853809,438.0417335,527.7111383,622.5742574,700,425.7575758,510.0207804,558.2640587,700,838.7755102,1060,1658.501725,2943.28215,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
19,116.875,145.505618,176.1712846,197.3574901,208.0246914,239.8339483,261.71875,315.8458244,349.588951,409.4608342,485.3613907,559.0990991,621.0163339,415.6146179,496.1852861,541.2976525,674.3544878,800.2680965,1000,1503.515625,2477.56654,12703.89316,12703.89316,9349.321722,9196.067394,11377.92481,11852.56198,16578.44991
