bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4
0,15757.32522,24375.87996,34723.68542,43249.20938,53503.98406,68494.84603,93136.11978,165483.8874,398146.4761,4920783.615,3753446.146,2394002.176,2005358.294,74201.72793,105548.1137,136117.862,310792.1953,629720.6246,26231847.94,14306068.9,15997900.37,9365991.974,10468969.05,5002460.522,6261021.761,9452839.129,9868033.086,26085268.87
1,15107.79639,23155.96632,32897.70012,40509.61141,50152.43713,63807.76581,85390.23471,142356.2195,296586.2229,4319363.019,3753446.146,2394002.176,2005358.294,71644.02544,100964.1463,128649.0667,276939.4679,525192.6856,26231847.94,14306068.9,15997900.37,9365991.974,10468969.05,5002460.522,6261021.761,9452839.129,9868033.086,26085268.87
2,14491.01065,22018.75169,31197.71913,38031.65322,47086.9971,59566.25937,78571.37013,124088.2881,232060.6626,1325200.319,3753446.146,2394002.176,2005358.294,69201.79897,96658.70401,121782.9272,248726.0392,446272.6855,9562618.909,14306068.9,15997900.37,9365991.974,10468969.05,5002460.522,6261021.761,9452839.129,9868033.086,26085268.87
3,13904.57362,20956.20231,29611.39388,35780.21188,44273.54646,55711.73655,72528.39949,109345.2859,188051.0504,676643.6497,3753446.146,2394002.176,2005358.294,66867.76443,92608.41728,115452.916,224919.3722,385029.9126,3998351.795,14306068.9,15997900.37,9365991.974,10468969.05,5002460.522,6261021.761,9452839.129,9868033.086,26085268.87
4,13346.31728,19961.28288,28127.91515,33726.10322,41683.08157,52195.22621,67140.60194,97230.1849,156419.6088,425463.5747,3753446.146,2394002.176,2005358.294,64635.21915,88792.37671,109601.6469,204611.3583,336412.1803,2240408.78,14306068.9,15997900.37,9365991.974,10468969.05,5002460.522,6261021.761,9452839.129,9868033.086,26085268.87
5,12814.27392,19027.80727,26737.78296,31844.88932,39290.80237,48975.51018,62310.50247,87120.31743,132751.3572,299201.4021,3753446.146,2394002.176,2005358.294,62497.98627,85191.82479,104179.3907,187120.1731,297071.1517,1456494.437,14306068.9,15997900.37,9365991.974,10468969.05,5002460.522,6261021.761,9452839.129,9868033.086,26085268.87
6,12306.65374,18150.31498,25432.61637,30115.96014,37075.38772,46017.67053,57958.62108,78571.37013,114468.6731,225465.429,1754096.95,2394002.176,2005358.294,60450.36522,81789.89198,99142.86567,171925.2611,264712.7227,1035607.711,14306068.9,15997900.37,9365991.974,10468969.05,5002460.522,6261021.761,9452839.129,9868033.086,26085268.87
7,11821.82523,17323.96857,24204.99508,28521.81897,35018.41416,43291.948,54019.56748,71258.6642,99977.14923,177991.0992,736404.0128,2394002.176,2005358.294,58487.08765,78571.37013,94454.24744,158623.2224,237719.9426,781604.3868,14306068.9,15997900.37,9365991.974,10468969.05,5002460.522,6261021.761,9452839.129,9868033.086,26085268.87
8,11358.29814,16544.46779,23048.32707,27047.52102,33103.8863,40772.83724,50439.09908,64939.97509,88243.40744,145257.5058,425285.8536,2394002.176,2005358.294,56603.27813,75522.51732,90080.35281,146897.235,214924.9582,615451.7066,14306068.9,15997900.37,9365991.974,10468969.05,5002460.522,6261021.761,9452839.129,9868033.086,26085268.87
9,10914.70863,15807.97756,21956.73733,25680.22851,31317.85472,38438.36396,47171.87827,59431.27171,78571.37013,121514.0517,285626.7697,2394002.176,2005358.294,54794.41887,72630.889,85991.96378,136495.4515,195466.1341,500167.1348,14306068.9,15997900.37,9365991.974,10468969.05,5002460.522,6261021.761,9452839.129,9868033.086,26085268.87
