bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653.9671248
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020.952319,2818.186044,5039.061396
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2818.186044,4654.316144,6885.240346,9650.781402
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.2194185,2818.186044,6056.939466,8443.265474,11138.41989,14489.12714
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495.9084347,2818.186044,5757.585017,9414.813041,12387.80031,15577.72466,19554.09862
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791.8844363,2818.186044,5508.874997,8795.430396,12891.80677,16487.92065,20203.15467,24845.69583
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020.952319,2818.186044,5205.824504,8282.286277,11931.72218,16487.92065,20743.62649,25014.70992,30363.91877
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203.493881,2818.186044,4894.0694,7658.823816,11138.41989,15166.46037,20203.15467,25154.91783,30012.39041,36108.76745
12,0,0,0,0,0,0,0,0,0,0,0,0,0,1352.376283,2818.186044,4654.316144,7019.534505,10177.18398,14077.27582,18499.64497,24037.50886,29721.79468,35196.19614,42080.24186
13,0,0,0,0,0,0,0,0,0,0,0,0,0,2818.186044,4464.205006,6529.342621,9194.581359,12760.90499,17098.85408,21931.27598,27990.98319,34444.25704,40566.1271,48278.34201
