bvets vehicle performance table 0.01,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,WF1,WF2,WF3,WF4
0,24303.11462,49242.13165,69732.509,100545.6211,185808.7656,628252.281,5545556.772,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
1,23615.70925,47074.77701,66014.95873,95000.63787,169820.313,501281.3539,5545556.772,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
2,22942.62409,45034.75138,62583.58128,89885.52805,155929.2154,412090.7224,5545556.772,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
3,22283.42711,43111.34458,59407.22713,85153.71212,143762.4973,346609.071,5545556.772,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
4,21637.70319,41294.99966,56459.04348,80764.96447,133028.6996,296835.2806,5545556.772,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
5,21005.05327,39577.16331,53715.76611,76684.38199,123497.1048,257927.4238,5545556.772,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
6,20385.09365,37950.15869,51157.14575,72881.54503,114982.9373,226805.119,5545556.772,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
7,19777.45522,36407.07707,48765.48006,69329.83043,107336.6416,201426.5254,5545556.772,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
8,19181.7828,34941.68493,46525.22951,66005.84574,100435.9967,180390.9429,5545556.772,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
9,18597.7345,33548.34422,44422.70021,62888.96057,94180.23552,162709.0979,5545556.772,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
10,18024.98113,32221.94353,42445.78044,59960.91635,88485.60289,147664.592,2022996.616,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
11,17463.20556,30957.83853,40583.72084,57205.49972,83281.96216,134727.2361,956628.7831,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
12,16912.10226,29751.80028,38826.94983,54608.26786,78510.17403,123497.1048,584944.5903,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
13,16371.37673,28599.97016,37166.91816,52156.31653,74120.05208,113667.411,406923.7444,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
14,15840.74503,27498.82057,35595.96716,49838.08318,70068.75333,104999.2631,305617.7844,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
15,15319.93331,26445.12044,34107.21678,47643.1793,66319.50044,97304.12674,241363.0938,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
16,14808.67739,25435.90499,32694.46995,45562.24703,62840.55903,90431.40085,197457.7206,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
17,14306.7223,24468.44901,31352.13059,43586.83603,59604.41311,84259.46224,165785.893,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
18,13813.82195,23540.24338,30075.13312,41709.29749,56587.09563,78689.1078,141978.9742,2885647.755,3273551.039,3116380.016,10430859.21,19327149.04
19,13329.7387,22648.97421,28858.88155,39922.69244,53767.64128,73638.68299,123497.1048,1127045.259,3273551.039,2143283.748,6746769.424,15556990.96
20,12854.24301,21792.50434,27699.19674,38220.7123,51127.63663,69040.41538,108772.1449,550171.8997,3273551.039,894559.6253,2280707.338,4540682.976
21,12387.11313,20968.85692,26592.27055,36597.60973,48650.84799,64837.62169,96788.02823,345020.2375,2618025.498,536940.7886,1183878.355,2189642.625
