BveTs Vehicle Performance Table 1.00,
#,
0,58571.19779
1,58571.19779
2,58571.19779
3,58571.19779
4,58571.19779
5,58571.19779
6,58571.19779
7,58571.19779
8,58571.19779
9,58571.19779
10,58571.19779
11,58571.19779
12,58571.19779
13,58571.19779
14,58571.19779
15,58571.19779
16,58571.19779
17,58571.19779
18,58571.19779
19,58571.19779
20,58571.19779
21,58571.19779
22,58571.19779
23,58571.19779
24,58571.19779
25,58571.19779
26,58571.19779
27,58571.19779
28,58571.19779
29,58571.19779
30,58571.19779
31,58571.19779
32,58571.19779
33,58571.19779
34,58571.19779
35,58571.19779
36,58571.19779
37,58571.19779
38,58571.19779
39,58571.19779
40,58571.19779
41,58571.19779
42,58571.19779
43,58571.19779
44,58571.19779
45,58571.19779
46,58571.19779
47,58571.19779
48,58571.19779
49,58571.19779
50,58571.19779
51,58571.19779
52,58571.19779
53,58571.19779
54,58571.19779
55,58571.19779
56,58571.19779
57,58571.19779
58,58571.19779
59,58571.19779
60,58571.19779
61,58571.19779
62,58571.19779
63,58571.19779
64,58571.19779
65,58571.19779
66,58571.19779
67,58571.19779
68,58571.19779
69,58571.19779
70,58571.19779
71,58571.19779
72,58571.19779
73,58571.19779
74,58571.19779
75,58571.19779
76,58571.19779
77,58571.19779
78,58571.19779
79,58571.19779
80,58571.19779
81,58571.19779
82,58571.19779
83,58571.19779
84,58571.19779
85,56465.35971
86,54479.91789
87,52605.10163
88,50832.15027
89,49153.18775
90,47561.11519
91,46049.51858
92,44612.58924
93,43245.05496
94,41942.12022
95,40699.41424
96,39512.94548
97,38379.06193
98,37294.4162
99,36255.93473
100,35260.79074
101,34306.38019
102,33390.30052
103,32510.33178
104,31664.41978
105,30850.66104
106,30067.28942
107,29312.66404
108,28585.25852
109,27883.65124
110,27206.5166
111,26552.61716
112,25920.79646
113,25309.97258
114,24719.13232
115,24147.32584
116,23593.66184
117,23057.30319
118,22537.46287
119,22033.40034
120,21544.41818
121,21069.85903
122,20609.10277
123,20161.56394
124,19726.68939
125,19303.95609
126,18892.86913
127,18492.95985
128,18103.78416
129,17724.92096
130,17355.97067
131,16996.5539
132,16646.3102
133,16304.89687
134,15971.98795
135,15647.27314
136,15330.45695
137,15021.25779
138,14719.40719
139,14424.64902
140,14136.73885
141,13855.44323
142,13580.53912
143,13311.81331
144,13049.06192
145,12792.08982
146,12540.71028
147,12294.7444
148,12054.02083
149,11818.37528
150,11587.65023
151,11361.69453
152,11140.36314
153,10923.51679
154,10711.02169
155,10502.74931
156,10298.57608
157,10098.38317
158,9902.056269
159,9709.485378
