bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174.83667
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174.83667,2843.025488,4865.469799
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174.83667,4115.12041,6275.189677,8708.88747
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174.83667,3843.781305,7153.186256,9835.069271,12705.08968
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174.83667,3519.241093,6593.537599,10289.03421,13522.66427,16854.07644
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174.83667,3265.061575,5926.226065,9424.105551,13522.66427,17337.97468,21155.84774
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174.83667,3060.60138,5405.17531,8395.791585,12335.48516,16854.07644,21281.00049,25610.40358
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174.83667,2843.025488,4987.06624,7595.177876,10927.93765,15327.67643,20283.27071,25351.7417,30217.74396
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2632.755776,4543.143157,6954.231247,9835.069271,13522.66427,18400.67936,23810.2471,29550.19832,34977.86889
14,0,0,0,0,0,0,0,0,0,0,0,0,0,2.821505131,1174.83667,4115.12041,6275.189677,8962.096404,12124.8495,16179.97144,21554.49395,27435.00559,33876.37035,39890.77836
