bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.7142857,131.25
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,142.8571429,171.875
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.0909091,147.5,180,212.5
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,138.6363636,180,217.1428571,253.125
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,168.1818182,212.5,254.2857143,293.75
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.6428571,154,197.7272727,245,291.4285714,334.375
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.9032258,142.8571429,180,227.2727273,277.5,328.5714286,375
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.7142857,133.8709677,166.0714286,206,256.8181818,310,365.7142857,415.625
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.2857143,154.8387097,189.2857143,232,286.3636364,342.5,402.8571429,456.25
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,142.8571429,175.8064516,212.5,258,315.9090909,375,440,496.875
