bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4
0,185,280,380,450,520,620,786.835443,1125.008235,2062.2422,8064.20213,6750.374852,6750.374852,6750.374852,718.2075828,896.6666667,1207.221458,2001.148999,5754.195804,20545.27983,18422.11243,14971.16247,13790,12160.16766,10505.89847,11127.08041,10277.62563,13584.94685,18277.42275,210,300,390,450,520,600,734.5070423,953.4482759,1395.454545,4477.358491,11033.75582,9490.79924,9490.79924,580,660,766.0736976,876.1744966,1053.433353,1304.545455,1587.274549,2333.333333,6244.554455,7700,17152.95867,22308.12854,33144.4767,37490.65458,7280,200,300,380,440,500,590,700,949.6503497,1533.823529,4139.370079,9249.821641,9490.79924,7864.872904,560,630,732.0704846,824.5171783,956.8807339,1160,1363.793103,1941.935484,2397.324415,4386.893204,20856.91027,26153.16816,31459.50413,32181.86179,28287.45902
1,180.3566122,270.597121,364.3207127,429.9033816,497.2768098,588.8888889,741.3253012,1026.174008,1750.7138,8064.20213,6750.374852,6750.374852,6750.374852,700,867.5834085,1156.569804,1848.605132,4606.756757,20545.27983,18422.11243,14971.16247,13790,12160.16766,10505.89847,11127.08041,10277.62563,13584.94685,18277.42275,204.8728814,290.9090909,376.1209068,432.7846093,498.9361702,576.9326683,700,891.5309446,1266.666667,3266.666667,11033.75582,9490.79924,9490.79924,569.3544458,647.1839425,748.8197425,853.7785589,1020.061902,1255.172414,1517.567568,2181.395349,5239.748954,6244.554455,17152.95867,22308.12854,33144.4767,20876.31579,6222.5,195.3177258,290.9090909,366.1596958,424.3910056,480.5825243,564.1030498,667.9039301,888.9513728,1367.148014,3100,9249.821641,9490.79924,7864.872904,550.4195071,617.8532824,715.8040986,805.0420168,930.8845577,1122.018349,1313.790355,1834.438306,2250.632911,3868.103448,20856.91027,26153.16816,31459.50413,32181.86179,16045
2,175.8798283,261.6698424,349.6551724,411.2121212,476.0611323,560.2168474,700,941.8217599,1517.129262,8064.20213,6750.374852,6750.374852,6750.374852,682.4639088,839.9824253,1109.397304,1716.227083,3833.506126,20545.27983,18422.11243,14971.16247,13790,12160.16766,10505.89847,11127.08041,10277.62563,13584.94685,18277.42275,199.8956159,282.1917808,362.9636899,416.538165,479.1451732,555.0970874,667.9039301,836.1111111,1157.692308,2561.538462,11033.75582,9490.79924,9490.79924,558.939759,634.6563981,732.0704846,832.1752266,988.3031301,1208.736059,1452.793296,2046.153846,4504.347826,5239.748954,17152.95867,22308.12854,33144.4767,13353.61882,5429.375,190.7742998,282.1917808,353.0813476,409.5615104,462.2641509,539.904727,637.9746835,834.4632768,1230.743982,2468.421053,9249.821641,9490.79924,7864.872904,541.008316,605.9826167,700,786.1729368,905.8823529,1085.90604,1266.615027,1736.885246,2118.918919,3453.875969,20856.91027,26153.16816,31459.50413,32181.86179,11185.19523
3,171.5608399,253.1829701,335.908142,393.7837838,456.207766,533.7078652,662.3076923,868.9857502,1335.488987,8064.20213,6750.374852,6750.374852,6750.374852,665.562835,813.7532134,1065.357396,1600.263992,3277.066451,20545.27983,18422.11243,14971.16247,13790,12160.16766,10505.89847,11127.08041,10277.62563,13584.94685,18277.42275,195.0617284,273.8255034,350.4734577,401.1811024,460.5150215,534.3971631,637.9746835,786.2170088,1064.285714,2100,11033.75582,9490.79924,9490.79924,548.7485101,622.4077329,715.8040986,811.3231552,958.0428954,1164.981949,1392.446043,1925,3942.811502,4504.347826,17152.95867,22308.12854,33144.4767,9799.37833,4812.5,186.3636364,273.8255034,340.7037185,395.4545455,444.9541284,517.2432145,610,785.2791878,1117.051153,2044,9249.821641,9490.79924,7864.872904,531.7619784,594.3786982,684.6387576,767.8820791,881.8181818,1051.528384,1222.033898,1647.957471,2000,3115.492958,20856.91027,26153.16816,26600,32181.86179,8577.1
4,167.3914485,245.1046991,322.9959514,377.4945534,437.5895765,509.1260634,627.7894737,805.4582904,1190.19981,8064.20213,6750.374852,6750.374852,6750.374852,649.2628993,788.7959866,1024.148068,1497.840909,2857.462687,20545.27983,18422.11243,14971.16247,13790,12160.16766,10505.89847,11127.08041,10277.62563,13584.94685,18277.42275,190.3651116,265.7894737,338.6007463,386.6423358,442.9464906,514.7465438,610,741.0614525,983.3333333,1774.418605,5485.756677,9490.79924,9490.79924,538.7735849,610.428737,700,791.1838266,929.1775799,1123.684211,1336.086957,1815.841584,3500,3942.811502,17152.95867,22308.12854,22503.27869,7728.777231,4319,182.08,265.7894737,328.9719626,382.0185615,428.5714286,495.9766162,583.7944664,740.6605923,1020.833333,1739.175258,9249.821641,9490.79924,7864.872904,522.6762002,583.0326356,669.7020143,750.1432665,858.6402266,1018.763326,1179.83871,1566.559486,1892.098093,2833.870968,20856.91027,26153.16816,14350,29995.80153,6950.128552
5,163.364014,237.4062148,310.8447937,362.2362869,420.0947718,486.2686567,596.0606061,749.5620909,1071.342079,8064.20213,6750.374852,6750.374852,6750.374852,633.53259,765.0204082,985.504922,1406.717219,2529.746835,20545.27983,18422.11243,14971.16247,13790,12160.16766,10505.89847,11127.08041,10277.62563,13584.94685,18277.42275,185.8,258.0645161,327.3008648,372.8581585,426.3513514,496.0674157,583.7944664,700,912.5,1532.432432,3621.73913,9490.79924,9490.79924,529.008168,598.7106017,684.6387576,771.7213115,901.6129032,1084.641638,1283.333333,1716.981132,3141.860465,3500,17152.95867,22308.12854,13334.14634,6373.255814,3915.227273,177.9179811,258.0645161,317.8368121,369.2067989,413.0434783,475.9799833,559.1954023,700,938.3490972,1509.638554,8648.387097,9490.79924,7864.872904,513.7468354,571.9359283,655.1724138,732.9318781,836.3004172,987.5,1139.842913,1491.773779,1793.75,2595.833333,20856.91027,26153.16816,9800,15482.44444,5838.302961
6,159.471408,230.0613497,299.389313,347.9141104,403.624655,464.9603461,566.7961165,700,972.3044397,4888.617886,6750.374852,6750.374852,6750.374852,618.3425602,742.3444976,949.1954948,1325.120834,2266.714204,15631.53846,18422.11243,14971.16247,13790,12160.16766,10505.89847,11127.08041,10277.62563,13584.94685,18277.42275,181.3609467,250.6329114,316.5333333,359.7713098,410.6508876,478.2894737,559.1954023,662.5,850,1345.508982,2691.111111,9490.79924,9490.79924,519.4457275,587.244898,669.7020143,752.9020556,875.2628943,1047.674419,1233.849918,1627.027027,2846.226415,3141.860465,17152.95867,22308.12854,9450,5416.931086,3578.75,173.8724728,250.6329114,307.253886,356.9767442,398.3050847,457.1428571,536.0594796,662.7931214,866.8539326,1330.563003,4433.333333,9490.79924,7864.872904,504.9698795,561.0804457,641.0335331,716.2247358,814.7540984,957.6374745,1101.878914,1422.826087,1703.740648,2391.98895,20856.91027,23604.09339,7426.086957,10415.82278,5030.39823
7,155.7069712,223.0462863,288.5714286,334.4444444,388.0917623,445.0488145,539.7196262,655.7530864,888.510794,3013.555992,6750.374852,6750.374852,6750.374852,603.6654449,720.6936867,915.0145773,1251.631814,2050.934579,8820.280102,18422.11243,14971.16247,13790,12160.16766,10505.89847,11127.08041,10277.62563,13584.94685,18277.42275,177.0428016,243.4782609,306.2613982,347.3301791,395.7746479,461.3490364,536.0594796,628.1173594,794.4444444,1196.774194,2133.175355,9490.79924,9490.79924,510.08,576.0235558,655.1724138,734.6946868,850.0489956,1012.621359,1187.341772,1544.827586,2598.047722,2846.226415,17152.95867,22308.12854,7303.773585,4706.093345,3294.038462,169.9386503,243.4782609,297.1830986,345.2896589,384.2975207,439.3672281,514.2599278,628.6178455,804.2889391,1186.956522,2965.168539,7423.943662,7864.872904,496.3414634,550.4584064,627.269821,700,793.9597315,929.0836653,1065.795724,1359.058488,1621.052632,2215.463918,20856.91027,12347.70554,5968.421053,7837.308369,4416.782007
8,152.0644761,216.3392991,278.3393502,321.7533719,373.4183082,426.4010804,514.5945946,616.0098426,816.6930917,2168.403909,6750.374852,6750.374852,6750.374852,589.4756963,700,882.7803348,1185.099033,1870.724154,6122.067039,18422.11243,14971.16247,13790,12160.16766,10505.89847,11127.08041,10277.62563,13584.94685,18277.42275,172.840691,236.5853659,296.4516129,335.4881266,381.6593886,445.1882845,514.2599278,596.4788732,744.7368421,1075.609756,1761.401777,7423.943662,9490.79924,500.9049774,565.0388457,641.0335331,717.06984,825.8992806,979.3375394,1143.548387,1469.421488,2386.746988,2598.047722,17152.95867,22308.12854,5942.290749,4156.970509,3050,166.1119516,236.5853659,287.5881523,334.1101695,370.9677419,422.5658298,493.6842105,597.1181556,749.0793201,1069.230769,2218.644068,4126.315789,7864.872904,487.857848,540.0623604,613.8665405,684.2370744,773.878628,901.754386,1031.456954,1299.908341,1544.827586,2061.111111,20856.91027,8336.081694,4982.352941,6275.423729,3934.891892
9,148.538092,209.9205298,268.6467487,309.7752809,359.5348837,408.9005236,491.2173913,580.1159593,754.4551316,1687.446095,6750.374852,6750.374852,6750.374852,575.7494359,680.2013423,852.3310711,1124.579439,1717.957746,4675.336454,18422.11243,14971.16247,13790,12160.16766,10505.89847,11127.08041,10277.62563,13584.94685,18277.42275,168.75,229.9401198,287.0734745,324.2028986,368.2481752,429.7546012,493.6842105,567.268623,700,975,1495.939086,4126.315789,7423.943662,491.9148936,554.2833608,627.269821,700,802.7477689,947.6923077,1102.238806,1400,2204.672897,2386.746988,17152.95867,22308.12854,5001.675978,3720.013755,2838.5,162.3880597,229.9401198,278.4361006,323.4059098,358.2677165,406.6607063,474.2320819,567.9916801,700,970.9677419,1766.666667,2842.230347,7864.872904,479.5154185,529.8851713,600.8097166,668.9165187,754.4747082,875.5725191,998.7390883,1244.891641,1474.336283,1925,14112.34652,6277.795945,4270.886076,5227.936963,3546.422594
