bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC50Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC60Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011Q11,WF1,WF2,WF3,WF4
0,11347.27472,18649.98296,26718.61264,32005.20114,39283.53986,48267.31141,62438.13024,88074.40195,200574.2835,5633725.342,3499855.703,4132893.544,1348068.099,57684.75242,73941.97178,110950.8611,196493.4886,771186.1937,15031584.39,10999148.45,7232814.105,5818685.378,4616008.683,4394451.641,5172038.45,8488247.943,18324175.62,13994651.36,10854.98089,18889.0789,25667.27847,30955.63216,38279.7091,45915.71597,58949.20835,80391.24641,135269.923,1027000.792,7602650.968,4334838.663,4334838.663,44944.15644,52853.10198,63235.66412,75314.49598,93657.44685,132866.9357,201350.275,421427.4045,816413.5396,34792104.39,13993837.36,21693785.25,42840041.24,46798632.91,72564451.67,10596.08533,17867.15242,24653.74648,30841.71812,36331.18659,44886.4345,55866.03339,77707.53247,123316.0926,411977.5197,4914663.996,3908930.274,3758140.927,41991.87917,48812.42876,58445.24438,68852.96647,87570.85929,105668.2859,146277.6304,212607.8205,442394.7776,1548265.425,17577177.96,24335185.89,46176495,58867028.01,3949671.011
1,10999.2403,18101.70959,25784.47347,30815.2696,37660.22525,46171.32719,59166.91139,82114.22726,171624.5342,2863695.333,3499855.703,4132893.544,1348068.099,56119.53529,71585.11663,105692.602,180786.5637,611566.8023,15031584.39,10999148.45,7232814.105,5818685.378,4616008.683,4394451.641,5172038.45,8488247.943,18324175.62,13994651.36,10576.1588,18259.62328,24736.65953,29665.94344,36650.03529,43842.71621,55899.376,75280.989,121950.4294,625360.3339,3198643.979,4334838.663,4334838.663,44018.61131,51700.38792,61672.9264,73202.71979,90559.18339,126776.1654,188386.6807,374060.68,687458.368,9308853.659,13993837.36,21693785.25,42840041.24,14267403.89,19657938.81,10103.26,17330.99035,23741.32627,29616.2402,34722.79031,42785.35705,53020.05203,72367.75052,111681.3662,316233.0695,4914663.996,3908930.274,3758140.927,41153.39372,47850.17886,57138.07814,67022.90747,84761.45364,101898.2851,139220.1067,199262.6025,394394.498,1157890.103,17577177.96,24335185.89,46176495,58867028.01,2713547.731
2,10662.22819,17563.19625,24880.91806,29670.89592,36114.34029,44182.23218,56119.53529,76727.85184,149070.8867,1157229.181,3499855.703,4132893.544,1348068.099,54613.85781,69337.22593,100827.3803,167113.3792,500911.4725,15031584.39,10999148.45,7232814.105,5818685.378,4616008.683,4394451.641,5172038.45,8488247.943,18324175.62,13994651.36,10303.34094,17655.68379,23849.02099,28449.58896,35115.09135,41899.70551,53076.98889,70658.15692,110669.3254,431808.9334,1352734.741,4334838.663,4334838.663,43115.70757,50577.74666,60160.12197,71171.76698,87608.1834,121112.3449,176729.9335,334921.6917,588779.5277,4380323.811,13993837.36,21693785.25,42840041.24,6914542.019,8763893.963,9648.298031,16811.51373,22871.89672,28454.20428,33212.99804,40822.0731,50381.63143,67588.10584,101754.362,253137.1754,4914663.996,3908930.274,3758140.927,40334.3963,46908.8632,55866.03339,65257.9685,82079.72987,98323.51866,132686.1038,187218.645,354421.1479,906131.2485,17577177.96,24335185.89,46176495,58867028.01,1990374.174
3,10335.72527,17034.19287,24006.5007,28569.57101,34640.59758,42292.27709,53274.42041,71838.64667,131065.9328,658261.5209,3499855.703,4132893.544,1348068.099,53164.46913,67191.1294,96314.07639,155116.8047,420532.1608,15031584.39,10999148.45,7232814.105,5818685.378,4616008.683,4394451.641,5172038.45,8488247.943,18324175.62,13994651.36,10036.33738,17075.75589,23001.49522,27300.58258,33667.01421,40075.11105,50458.19211,66458.26869,101007.2555,321822.5678,777377.6675,4334838.663,4334838.663,42234.65396,49484.06505,58694.99334,69217.27892,84794.64618,115834.0992,166201.253,302143.7802,511372.7869,2595063.988,13993837.36,21693785.25,42840041.24,4113671.837,4990347.42,9227.004967,16307.96543,22042.52741,27350.88638,31793.16282,38983.73594,47929.41303,63287.12238,93196.20685,208926.9816,4914663.996,3908930.274,3758140.927,39534.23725,45987.83519,54627.77365,63554.86899,79517.53277,94929.86767,126622.0392,176303.7184,320718.5254,733328.8829,17577177.96,24335185.89,46176495,34800456.08,1529537.34
4,10019.24971,16514.45766,23159.86389,27508.96368,33234.17264,40494.42958,50612.62001,67382.7764,116398.4049,438914.9084,3499855.703,4132893.544,1348068.099,51768.34665,65140.25974,92116.99292,144516.8215,359972.7619,15031584.39,10999148.45,7232814.105,5818685.378,4616008.683,4394451.641,5172038.45,8488247.943,18324175.62,13994651.36,9774.966004,16518.45009,22191.46138,26213.5649,32298.77498,38358.67151,48022.29257,62627.50767,92650.11051,252372.2433,518880.5174,4334838.663,4334838.663,41374.69475,48418.28268,57275.41333,67335.19612,82109.597,110905.0787,156652.0837,274368.7697,449379.8434,1742537.576,13993837.36,21693785.25,42840041.24,2748422.11,3243549.582,8835.782896,15819.633,21250.54572,26302.01457,30455.60752,37259.02396,45644.82169,59398.11766,85750.36229,176486.3344,2387652.73,3908930.274,3758140.927,38752.29484,45086.47382,53422.02747,61910.53934,77067.36821,91704.5036,120981.1925,166373.7833,291992.5936,608983.5821,17577177.96,24335185.89,46176495,11460828.77,1217029.736
5,9712.348528,16003.75678,22339.7319,26486.90539,31890.65494,38782.29439,48117.43756,63306.674,104244.3798,320426.4581,3499855.703,4132893.544,1348068.099,50422.6766,63178.59145,88205.00296,135091.0984,312987.9794,15031584.39,10999148.45,7232814.105,5818685.378,4616008.683,4394451.641,5172038.45,8488247.943,18324175.62,13994651.36,9519.052206,15982.48121,21416.51959,25183.72405,31004.07247,36741.25872,45751.25907,59120.63625,85358.43192,205185.4841,378143.4433,4334838.663,4334838.663,40535.10783,47379.38883,55899.376,65521.73346,79544.80363,106293.2338,147958.0941,250588.1481,398849.6945,1265595.863,13993837.36,21693785.25,42840041.24,1978541.441,2290483.842,8471.52818,15345.84543,20493.50938,25303.71662,29193.49383,35637.92345,43511.63217,55866.03339,79219.39087,151810.5523,985712.8613,3908930.274,3758140.927,37987.97378,44204.18246,52247.5846,60322.1045,74722.33884,88635.74705,115722.663,157307.5672,267271.7896,516131.3099,17577177.96,24335185.89,12397922.55,5719774.786,994841.3746
6,9414.595564,15501.86399,21544.9047,25501.37647,30606.00494,37150.04383,45774.10696,59565.08456,94025.777,247893.5328,3499855.703,4132893.544,1348068.099,49124.83654,61300.587,84550.85213,126661.0914,275647.667,15031584.39,10999148.45,7232814.105,5818685.378,4616008.683,4394451.641,5172038.45,8488247.943,18324175.62,13994651.36,9268.428447,15466.65882,20674.46836,24206.72815,29777.24238,35214.72733,43629.3132,55899.376,78946.7924,171353.5874,291827.6969,4334838.663,4334838.663,39715.20286,46366.41969,54564.98825,63773.35789,77092.70264,101970.2102,140014.5306,230039.4924,357035.3038,969794.114,13993837.36,21693785.25,13604941.38,1500304.524,1712031.795,8131.549504,14885.97021,19769.18228,24352.47481,28000.71188,34111.54702,41515.6136,52645.03967,73449.09178,132493.3577,566340.4239,3908930.274,3758140.927,37240.70385,43340.38767,51103.29242,58786.86909,72476.08695,85712.94441,110810.5084,149002.3288,245814.4296,444698.2948,17577177.96,24335185.89,5613648.72,3455381.81,830878.8763
7,9125.589469,15008.5604,20774.25254,24550.49369,29376.51641,35592.35701,43569.52516,56119.53529,85326.12972,199601.8507,3499855.703,4132893.544,1348068.099,47872.3796,59501.14901,81130.58342,119081.9332,245370.7065,4567433.508,10999148.45,7232814.105,5818685.378,4616008.683,4394451.641,5172038.45,8488247.943,18324175.62,13994651.36,9022.933927,14969.87875,19963.28467,23278.66741,28613.17965,33771.78756,41642.59281,52931.13761,73269.58354,146078.4883,234415.1666,4334838.663,4334838.663,38914.31958,45378.45571,53270.46221,62086.76816,74746.33421,97910.84119,132732.5862,212137.1627,321976.1751,772519.5636,13993837.36,21693785.25,5856460.475,1182002.831,1333663.662,7813.501682,14439.41064,19075.51341,23445.08656,26871.78659,32671.98135,39644.23587,49696.70282,68317.43632,117011.3577,380089.6027,3908930.274,3758140.927,36509.93862,42494.53812,49988.05261,57302.30388,70322.74375,82926.36,106213.03,141370.5206,227045.8518,388380.9926,17577177.96,24335185.89,3234019.869,2330236.026,706193.4805
8,8844.951953,14523.63415,20026.71091,23632.4991,28198.78309,34104.36676,41492.02757,52937.128,77838.46579,165453.7964,3499855.703,4132893.544,1348068.099,46663.02017,57775.5781,77923.06035,112234.9696,220400.5461,2154612.503,10999148.45,7232814.105,5818685.378,4616008.683,4394451.641,5172038.45,8488247.943,18324175.62,13994651.36,8782.414247,14491.11546,19281.1064,22396.0044,27507.27188,32405.89707,39778.87337,50188.01627,68211.0195,126573.7468,193915.5629,2922137.059,4334838.663,38131.82625,44414.61913,52014.10815,60458.87654,72499.28424,94092.72111,126036.5368,196424.8557,292241.0762,633664.5061,13993837.36,21693785.25,3302823.891,958891.54,1072040.142,7515.331811,14005.60335,18410.61816,22578.63029,25801.79809,31312.15869,37886.42594,46988.56901,63726.70268,104358.0821,278890.2375,3908930.274,3758140.927,35795.15425,41666.10357,48900.81808,55866.03339,68256.8841,80267.08115,101902.177,134337.1362,210514.8325,343062.3877,17577177.96,24335185.89,2122734.427,1687980.11,608999.0503
9,8572.326154,14046.88013,19301.27598,22745.74991,27069.66934,32681.61285,39531.19858,49989.57804,71331.96262,140189.7579,1089434.816,4132893.544,1348068.099,45494.62108,56119.53529,74909.56974,106022.1748,199505.2338,1296739.078,10999148.45,7232814.105,5818685.378,4616008.683,4394451.641,5172038.45,8488247.943,18324175.62,13994651.36,8546.721095,14029.41519,18626.21675,21555.53109,26455.34185,31111.16868,38027.33616,47645.9905,63677.97771,111122.5989,164046.6525,1043590.804,4334838.663,37367.11811,43474.07168,50794.32796,58886.79212,70345.63298,90495.84387,119861.4645,182542.4541,266764.2095,531774.4265,13993837.36,21693785.25,2145654.618,796072.9181,883217.9807,7235.235161,13584.01601,17772.76197,21750.4355,24786.31367,30025.74801,36232.36456,44493.05839,59597.78842,93844.56,216706.7593,1420952.171,3758140.927,35095.84833,40854.57384,47840.59004,54475.82458,66273.48619,77726.93482,97853.04579,127837.588,195862.784,305955.7341,17577177.96,15822114.08,1512044.406,1285658.003,531644.8047
